name_zh,name_en,region,address,state,old,a,b,c,d,e,f,g,h,latitude,longitude,UID,no_img
吧生莲花清人寺佛祖慈善院,Klang Buddha Lotus Ci Shan Yuan,巴生县,"91, Lot No. 7884, Jalan Kemanis, Pandamaran, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0061576,101.4091408,,
法灵宫,,巴生县,"No.17, Jalan Aur Kawasan 4, Taman Aur, 42000 Port Klang",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.005177,101.396595,,
法门寺,,巴生县,"22, Jalan Jasmin 3, Bandar Botanik, 41200 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9871457,101.4430506,,
福成宫,,巴生县,"Pelabuhan Selatan, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.996201,101.3969869,,
福德正神宫,,巴生县,"Jalan Sungai Putus, Kampung Batu Belah, 41050 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0698271,101.4375974,,
观宝宫,,巴生县,"1903，jalan young , Pandamaran,42000 pelabuhan klang 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0082701,101.420874,,
观世庙,,巴生县,"Jalan Young, Kampung Sijangkang, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0091596,101.4208727,,
合莲坛,,巴生县,"Car Park space under High Pressure Cable, Taman Eng Ann, 41050 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0576901,101.4570102,,
吉胆过港区協天宫,Pulau Ketam Hiap Tian Kiong,巴生县,"Lot H811A, Pulau Ketam, 42940 Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0334114,101.2467116,,
莲花宫,,巴生县,"26, Jalan Bendahara 38, Taman Sri Indah, 41200 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0109517,101.4763712,,
莲忠宫,,巴生县,"No. 28, Jalan Bungor, Kawasan 13, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9851487,101.4379325,,
南天门孫福宮,,巴生县,"Jalan Cengal, Kawasan 12, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0049172,101.4140508,,
普光兰若,,巴生县,"20, Lorong Kulur, Kampung Raja Uda, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0047894,101.4014097,,
师公坛,,巴生县,"201, Lorong Polis, Kawasan 12, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0100014,101.4134243,,
天赐宫,,巴生县,"Jl. Hort, Kampung Raja Uda, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0082554,101.4025644,,
靝寿宫,,巴生县,"Jalan Sijangkang, Pandamaran Jaya, Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0108692,101.4208187,,
珠兴祠,Persatuan Pengurusan Tokong Dewa Choo Hin Sze Pelabuhan Klang Selangor,巴生县,"21, Jalan Melaka, Kawasan 13, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0028683,101.401367,,
紫云福德祠,Sze Hoon Hock Teck Qi,巴生县,"TBG 961, Jalan Emas 41000 Klang, Selangor, Malaysia",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.045983,101.440121,,
八宝宫,Put Poh King,巴生縣,"39, Jalan Jelutong KU8, Pekan Meru Satu, Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.135949,101.4412193,,
巴生港口清凉亭,Qin Liang Temple,巴生縣,"Kampung Kastam, 42000 Port Klang, Selangor",Perlis,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0114599,101.4062378,,
巴生港口天福宫,Tian Hock Kung,巴生縣,"Lot 3115 & 3116, Jalan Siakap, Jln Tepi Sungai, Taman Teluk Pulai, 41100 Klang, Selangor",Perlis,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0502602,101.4275294,,
巴生港口天缘道堂（真空教）,Tiam Yam Toh Teng,巴生縣,"No.24,Jalan Cox, Di-Jalan Solok Baru, 41400 Klang, Selangor Darul Ehsan.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0462005,101.4508627,,
巴生加埔路二支協天宫,Klang Siah Tian Kong,巴生縣,"Lot 208, B-13, Batu Belah, 41050 Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0821569,101.4332002,,
巴生加埔路九支天灵宫,Klang Tian Leng Gong,巴生縣,"Lot 344, Jalan Kapar, Batu 9 1/4, Kampung Perepat, 42200 Kapar, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1004393,101.368729,,
