,District_Code,Name_EN,old,a,b,c,d,e,f,g,h,UID,no_img,Name_ZH,Address,District_EN,District_ZH,Main_Diety,Founding_Date,Steele,Plaque,latitude,longitude,old_2,State
104,,Long Lye Sye,False,False,False,True,False,False,False,False,False,,,龙礼寺,"Jalan Batu Tiga, Kawasan 15, 41300 Klang, Selangor",,巴生,,,,,3.0498225,101.455149,,Perlis
105,,Makitoh Temple,False,False,False,True,False,False,False,False,False,,,马基督哪卓公,"Jalan Harper, 41400 Klang, Selangor",,巴生,,,,,3.0532459,101.4421938,,Perlis
106,,Li Fu Erh Tau Tze,False,False,False,True,False,False,False,False,False,,,木吒宫李府二太子,"12, Lintang Muda, Off Jalan Meru, 41050 Klang, Selangor.",,巴生,,,,,3.0670259,101.4495289,,Perlis
107,,Lam Suah Keng,False,False,False,True,False,False,False,False,False,,,南山宫,"Lot 27, Jalan 57, Off Jalan Bukit Kerayong, Pandamaran, 42000 Port Klang, Selangor",,巴生,,,,,3.008215,101.418872,,Perlis
108,,Qi Xing Fo Guang Zhen Jun Tan,False,False,False,True,True,False,False,False,False,,,七星佛光真君坛、七星佛光坛,"91, Jalan Dato Dagang 10, Taman Sentosa, 42000 Klang, Selangor",,巴生,,,,,3.0007399,101.4674584,,Perlis
109,,Klang Qi Yu Dian,False,False,False,True,False,False,False,False,False,,,七玉殿,"4, Jalan Cox, 41300 Klang, Selangor.",,巴生,,,,,3.0465938,101.4502782,,Perlis
110,,Bei Chu Gong,False,False,False,True,False,False,False,False,False,,,圣淘沙北主宫,"1, Jalan Yusof Shahbudin 7, Taman Sentosa, 41200 Klang, Selangor",,巴生,,,,,3.0087832,101.4654238,,Perlis
111,,Dong Yue Than,False,False,False,True,False,False,False,False,False,,,圣淘沙东岳坛,"33, Lorongg 20A, Taman Sentosa, 41200 Klang, Selangor",,巴生,,,,,3.0058087,101.4609293,,Perlis
112,,Fu De Gong,False,False,False,True,False,False,False,False,False,,,圣淘沙福德宫,"6, Lorong Dato Dagang 35C, Taman Sri Sentosa, 41200 Klang, Selangor",,巴生,,,,,2.9956817,101.4760679,,Perlis
113,,Sou Gui Miao Temple,False,False,False,True,False,False,False,False,False,,,圣淘沙美华花园寿龟庙,"Jalan Bendahara 56 Taman Sejati 5, 41200 Klang, Selangor.",,巴生,,,,,3.0154385,101.4677017,,Perlis
