庙宇（名）,庙宇（英文）,地址,马来西亚华文铭刻萃编-傅吾康,马来西亚华团总名册,一庙一路网站,《走进巴生庙宇》,NUS,马校 RA,马来西亚神庙文化（已不存在）,福建会馆出版物,州
（瓜拉雪兰莪）南音堂,Nam Yin Tong,,,,1，10,,,2,,,雪兰莪
（瓜拉雪兰莪）七剑仙师佛祖古庙,Qi Jian Xian Shi Fo Zu Temple,,,,1，10,,,2,,,雪兰莪
（瓜拉雪兰莪）孫太祖師壇,,,,,,,,1，2,,,雪兰莪
（瓜拉雪兰莪）天圣宫,Tian Sheng Gong,,,,10,,,2,,,雪兰莪
（瓜拉雪兰莪）万佛寺,,,,,,,,2,,,雪兰莪
（瓜拉雪兰莪）西灵宫,Xi Ling Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉雪兰莪）仙法师公古庙,Sin Fatt Si Kong Temple,,,,10,,,2,,,雪兰莪
（瓜拉雪兰莪）依约联合拿督公,,,,,,,,1，2,,,雪兰莪
（瓜拉雪兰莪）依约天德宮,,,,,,,,1，2,,,雪兰莪
（瓜拉雪兰莪）振龙宫,,,,,,,,2,1，10,,雪兰莪
（瓜拉雪蘭莪縣）慈信坛,Chee Xin Tan,,,,1，7，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）丹绒加弄協天宫,Tanjung Karang Hiap Tien Gong,"20, Jalan Malinja 4, Taman Malinja, 45500 Tanjung Karang, Selangor.",,,7,,,,,,雪兰莪
（瓜拉雪蘭莪縣）二支五祖庙,Wu Zu Temple,,,,10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）福顺宫,Hock Sun Keng,,,,1，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）关帝庙,,,,,,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）洪公宫,Ang Kong Temple,,,,1，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）吉祥庵,Ji Xiang An,,,,1，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）六支副天福宫,Thian Hock Temple,"128, Jalan Besar, 45500 Tanjung Karang, Selangor",8，9,,1，7，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）六支玉皇太子殿,Tai Zhi Temple,"739, Batu 6, 45500 Tanjung Karang, Selangor.",,,1，7，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）六支众位仙法师公古庙,,,,,,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）龙尾景众位仙法师公古庙,,,,,,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）平安宫,Ping Ann Keong,"D 161, Jalan Bagan Tanjung Karang, 45500 Tanjung Karang, Selangor.",,,1，7，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）天宝宫,Tian Poh Kong,,,,1，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）天德宫,Tian De Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）天福宫,Tian Fu Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）天富宫,,,,,,,,2,1，10,,雪兰莪
（瓜拉雪蘭莪縣）天清法宫,,,,,,,,1，2,,,雪兰莪
（瓜拉雪蘭莪縣）汶汀哥壩仙法師公古廟,,,,,,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）西天宫,Xi Tian Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉雪蘭莪縣）协天宫,Hiap Tien Gong,,,,1，10,,,2,,,雪兰莪
（沙白安南）德古魯港口仙法師公古廟,,,,,,,,2,,,雪兰莪
（沙白安南）扶保宫（拿督公庙）,,,,,,,,1，2,,,雪兰莪
（沙白安南）将军爷,,,,,,,,1，2,,,雪兰莪
（沙白安南）浅顶拿督公庙,,,,,,,,1，2,,,雪兰莪
（沙白安南）浅顶仙法師公古廟,,,,,,,,1，2,,,雪兰莪
（沙白安南）乌暹新沟乌暹港口仙法師公古廟,,,,,,,,1，2,,,雪兰莪
（沙白安南）新沟港口仙法師公古廟,,,,,,,,1，2,,,雪兰莪
（沙白安南）忠义庙,,,,,,,,1，2,,,雪兰莪
（沙白安南縣）八仙古庙,Pak Sen Ko Bio,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）白鹤仙法师宫,Bai He Xian Fa Shi Gong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）白莲寺,Pek Lian Si,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）保安宫,Bao An Gong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）大港白鹤仙法师宫,Sungai Besar Bai He Xian Fa Shi Gong,"47A, Jalan Tujuh, Bagan Sungai Besar, 45300 Sungai Besar, Selangor",,,7,,,,,,雪兰莪
（沙白安南縣）大港福顺宫,Sungai Besar Hock Soon Keong,"Jalan Bunga Anggerik, Taman Melati, 45300 Sungai Besar, Selangor",,,7,,,,,,雪兰莪
（沙白安南縣）大港善财童子庙,Sungai Besar Sian Chai Tong Zhi Temple,"32, Jalan 7, Bagan Sungai Besar, 45300 Sungai Besar, Selangor",,,7,,,,,,雪兰莪
（沙白安南縣）大港天德堂,Sungai Besar Tien Teck Tong,"14, Jalan 5, Bagan Sungai Besar, 45300 Sungai Besar, Selangor",,,7,,,,,,雪兰莪
（沙白安南縣）大港仙法师公古庙,Sungai Besar Fak Sua Kong Ku Mio,"Jalan 5, Bagan Sungai Besar, 45300 Sungai Besar, Selangor",,,1，7，10,,,,,,雪兰莪
（沙白安南縣）大港永安宫,Sungai Besar Eng Onn Kong,"Jalan Datuk Taiban, 45300 Sungai Besar, Selangor",,,7,,,,,,雪兰莪
（沙白安南縣）德教會紫沛閣,,,,,,,,1，2,,,雪兰莪
（沙白安南縣）福顺宫,Hock Soon Keong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）关帝庙,Kuan Ti Temple,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）广泽尊王坛,Guang Ze Zun Wang Tan,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）河边街天福宫,Thien Hock Kong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）河畔关帝庙,Guan Di Temple,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）济公活佛庙,Ji Gong Huo Fo Temple,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）篮啅庙,,,,,,,,2,1，10,,雪兰莪
（沙白安南縣）南佛光堂地母娘娘宫,Foh Guang Tang Di Mu Niang Niang Gong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）南海观音菩萨,Nan Hai Kuan Yin Temple,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）南天宫九皇大帝,Nan Tian Gong Jiu Wang Ye,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）派财四面佛天法宫,,,,,,,,1，2,,,雪兰莪
（沙白安南縣）释迦庵,Shi Jia An,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）水尾圣娘庙,Hainam Swee Buey Ting Niang,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）四仙师公庙,,,,,,,,2,1，10,,雪兰莪
（沙白安南縣）天德堂,Tien Teck Tong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）天法宫,Tian Fa Gong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）天福宫,Thean Hok Kion,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）天福宫,Theam Hock Keong,,,,10,,,2,,,雪兰莪
（沙白安南縣）武圣坛,Wu Sheng Tan,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）仙法师公古庙,Xian Fa Shi Gong Gu Miao,,,,10,,,2,1，10,,雪兰莪
（沙白安南縣）永安宫,Eng Onn Kong,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）云仙坛,Yun Xian Tan,,,,1，10,,,2,,,雪兰莪
（沙白安南縣）镇龙宫,Zhen Long Gong,,,,10,,,2,,,雪兰莪
（沙白安南縣）祖师宫,Zu Shi Gong,,,,1，10,,,2,,,雪兰莪
（乌鲁冷岳）般若人文空间,,,,,7,,,1，2,,,雪兰莪
（乌鲁冷岳）大圣堂,Thai Sin Thong,,,,1，10,,,2,,,雪兰莪
（乌鲁冷岳）伏英馆,Fu Ying Guan,,,,1，10,,,2,,,雪兰莪
（乌鲁冷岳）加影净妙佛教协会,,,,,,,,1,,,雪兰莪
（乌鲁冷岳）加影瑶池宫,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）利安庙,Lee Onn Temple,"79, Jalan Bukit Angkat, Bukit Angkat, 43000 Kajang, Selangor",,,7，10,,,1，2,,,雪兰莪
（乌鲁冷岳）靈惠廟,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）南天宫九皇爷,Nan Tian Gong Kau Ong Yah,,,,10,,,1，2,,,雪兰莪
（乌鲁冷岳）菩提净宗学会,Amitabha,,,,,,,1,,,雪兰莪
（乌鲁冷岳）三宝宫,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）三教庙,Sam Kau Temple,,,,1，7，10,,,2,,,雪兰莪
（乌鲁冷岳）三元天尊坛,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）石哪督庙,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）天福坛,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）万泉宫,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）无拉港玉皇庙,Balakong Yu Huang Temple,"34, Kampung Bahru Balakong, 43300 Seri Kembangan, Selangor.",,,7,,,1，2,,,雪兰莪
（乌鲁冷岳）星安廟,,,,,,,,1，2,,,雪兰莪
（乌鲁冷岳）玉皇庙,,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）Then Lam Keong Temple Ulu Yam Bharu,,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）Yu Xu Gong Temple,,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）福泉东山,,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）观音堂,,,,,,,,1，2,10,,雪兰莪
（乌鲁雪兰莪）叻思天公坛,,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）雷皇爷宫,,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）妈祖庙,,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）双文丹福灵宫,Hock Leng Keng Temple,,,,,,,1，2,,,雪兰莪
（乌鲁雪兰莪）四面佛,,,,,,,,1，2,,,雪兰莪
（烏魯冷岳縣）丰天宫,Hong Tian Temple,"Lot No. 2, Sungai Chua New Village, 43000 Kajang, Selangor",,,1，7，10,,,2,,,雪兰莪
（烏魯冷岳縣）凤山寺,Feng Shan Si,"Batu 16, Jalan Reko, 43000 Kajang, Selangor.",,,1，7，10,,,2,,,雪兰莪
（烏魯冷岳縣）观音亭,Kuan Yin Temple,"65, Jalan Bukit, 43000 Kajang, Selangor.",,,1，7，10,,,2,,,雪兰莪
（烏魯冷岳縣）魁镇庙,Kajang Kui Zhen Temple,"Lot 5791-A, Taman Sri Reko, Jalan Reko, 43000 Kajang, Selangor",,,1，7，10,,,2,,,雪兰莪
（烏魯冷岳縣）南海观音神仙,Nan Hai Guan Yin Shen Xian,,,,1，10,,,2,,,雪兰莪
