Name,Notes,Address,State,UID
Melaka Buddhist Lodge (Chee Sze Lin) 佛教居士林 ,,"C-1158, Pekan Klebang, 75250 Melaka",Melaka,A256
青龙宫 Selandar Cheng Leong Keng,淡边青龙宫位于森甲交界之小镇-普罗士邦，一九六十三年建。,"Pekan Selandar, 77500 Selandar, Malacca",Melaka,A257
增龍會館Tsen Lung Fui Kon,,,Melaka,A258
三多廟 San Duo Temple / 三宝井  ,,"41, Jalan Tukang Besi, 75200 Melaka",Melaka,A259
马六甲三宝山,,"Jalan Puteri Hang Li Poh, Bukit Cina, 75100 Melaka",Melaka,A260
宁宜苏拜城堡（Kota Bukit Supai Kuala Linggi / Fort Supai),,"Jalan Kampung Teluk Perun, Kampung Kuala Linggi, Ku",Melaka,A261
马六甲圣保罗教堂,,,Melaka,A262
马六甲海峡清真寺,,,Melaka,A263
青云亭 Cheng Hoon Teng Temple   2017 年 ,,"25, Jalan Tokong, Kampung Dua, 75200 Melaka",Melaka,A264
Kwan Yin Tang Temple 观音堂,,"133, Jalan Hang Jebat, 75200 Melaka ",Melaka,A265
Xiang Lin Si Temple,2017年 ,"Jalan Tokong, Kampung Dua, 75200 Melaka",Melaka,A266
Chee Teong Beow Temple 慈忠庙 / 黄老仙师 ,,"No. 46, Jalan Tun Perak, 75300, Bachang, Melaka, 75300",Melaka,A267
